7,"I-44, EXIT 283 & US-69",Big Cabin,OK,
9,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,
20,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,
28,"I-540, EXIT 12 & US-71",Fort Smith,AR,
35,US-46,Columbia,NJ,
36,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,
44,"I-35,  EXIT 271",Jarrell,TX,
46,"I-85,  EXIT 22 & CR-138",Shorter,AL,
49,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,
50,"I-29 & I-80, EXIT 3",Council Bluffs,IA,
56,"I-94, EXIT 182 & US-83",Sterling,ND,
75,US-50,Montrose,CO,
77,US-13,Laurel,DE,
79,US-13 & US-40,New Castle,DE,
81,"I-75, EXIT 224",Ellenton,FL,
85,"I-70, EXIT 234",Dumont,CO,
91,"I-20 & ST 22, EXIT 55",Crawfordville,GA,
105,"I-75, EXIT 144-B",Bridgeport,MI,
118,"I-40, EXIT 359",Lupton,AZ,
121,"I-10, EXIT 200",Eloy,AZ,
127,US-41,Henderson,KY,
128,"I-57 & I-70, EXIT 159",Effingham,IL,
135,"I-80, EXIT 27",Atkinson,IL,
147,"I-69, EXIT 234 & SR-67",Daleville,IN,
149,"I-69, EXIT 309 & US-30",Fort Wayne,IN,
151,"I-80, EXIT 211 & SR-47",Gothenburg,NE,
159,"I-10, EXIT 343",Jacksonville,FL,
160,"I-12, EXIT 10 AT MILE 10",Denham Springs,LA,
164,"I-94, EXIT 15 B",Lake Station,IN,
167,RT 2 & I-65 EXIT 240,Hebron,IN,
174,US-59 & SR-224,Nacogdoches,TX,
184,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,
186,"I-90, EXIT 154 & US-16",Moorcroft,WY,
187,"I-35, EXIT 165 & SR-3",Latimer,IA,
191,"I-35, EXIT 193 & SR 106",Clear Lake,IA,
192,"I-80, EXIT 93",Stuart,IA,
195,"I-40 & I-55, EXIT 280",West Memphis,AR,
198,"I-76, EXIT 115",Atwood,CO,
199,"I-70, EXIT 252",Salina,KS,
203,"I-80/94, EXIT 2",Highland,IN,
207,SR-32,Sardinia,OH,
216,"I-10, EXIT 50",Ocean Springs,MS,
217,"I-70, EXIT 252",Salina,KS,
231,"I-75, EXIT 62 & US-25",Mount Vernon,KY,
235,"I-75, EXIT 358",Ocala,FL,
240,"I-10, EXIT 153 & SR-1",Port Allen,LA,
243,US-41 & SR-10,Lake Village,IN,
244,"I-10, EXIT 92 & SR-95",Duson,LA,
248,"I-10, EXIT 236",New Orleans,LA,
250,"I-70/US-40, EXIT 159 & US-183",Hays,KS,
253,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,
256,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,
257,I-15 & 31ST STREET EXIT 277,Great Falls,MT,
263,I-94 EXIT 16,Bridgman,MI,
267,SR-154 & SR-129,Dodge City,KS,
269,"I-75, EXIT 15",Monroe,MI,
278,US-41,Carlisle,IN,
281,"I-65, EXIT 76 & US-31",Taylorsville,IN,
289,"I-70, MM 209",Lawrence,KS,
